MemTotal:       32755048 kB
MemFree:        13079148 kB
MemAvailable:   31304444 kB
Buffers:          332844 kB
Cached:         18082764 kB
SwapCached:            0 kB
Active:         13136984 kB
Inactive:        5532020 kB
Active(anon):       1924 kB
Inactive(anon):   496584 kB
Active(file):   13135060 kB
Inactive(file):  5035436 kB
Unevictable:      218832 kB
Mlocked:            5436 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        472024 kB
Mapped:           313744 kB
Shmem:            240216 kB
KReclaimable:     517912 kB
Slab:             668192 kB
SReclaimable:     517912 kB
SUnreclaim:       150280 kB
KernelStack:        8800 kB
PageTables:        17372 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16377524 kB
Committed_AS:    3950844 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       26808 kB
VmallocChunk:          0 kB
Percpu:            10336 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      189432 kB
DirectMap2M:    11231232 kB
DirectMap1G:    23068672 kB
