
===================================
Domain Marker;critical-jOPS;2433.0
Domain Marker;max-jOPS;10793.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;500.0;1600.0;2100.0;2400.0;3100.0;121000.0
277.0;500.0;1900.0;2700.0;3100.0;3800.0;122000.0
415.0;400.0;2100.0;3300.0;3700.0;4500.0;123000.0
553.0;400.0;2400.0;3800.0;4300.0;5400.0;128000.0
692.0;500.0;2600.0;4300.0;4800.0;5800.0;137000.0
830.0;400.0;2800.0;4900.0;5500.0;8800.0;1500000.0
969.0;400.0;3100.0;5400.0;6000.0;7400.0;118000.0
1107.0;400.0;3200.0;5900.0;6700.0;8800.0;129000.0
1245.0;500.0;3300.0;6300.0;7200.0;9700.0;135000.0
1384.0;500.0;3400.0;6700.0;7700.0;10400.0;130000.0
1522.0;400.0;3500.0;7200.0;8200.0;11200.0;135000.0
1660.0;400.0;3500.0;7300.0;8500.0;12900.0;1000000.0
1799.0;400.0;3500.0;7200.0;8400.0;10800.0;105000.0
1937.0;500.0;3600.0;7700.0;9200.0;75000.0;970000.0
2076.0;400.0;3600.0;7300.0;8700.0;11600.0;94000.0
2214.0;400.0;3600.0;7500.0;8900.0;21000.0;980000.0
2352.0;400.0;3700.0;7800.0;9300.0;36000.0;940000.0
2491.0;400.0;3600.0;7500.0;9100.0;62000.0;980000.0
2629.0;400.0;3700.0;7700.0;9400.0;72000.0;960000.0
2767.0;400.0;3700.0;7200.0;8600.0;11500.0;960000.0
2906.0;400.0;3700.0;7400.0;8800.0;67000.0;970000.0
3044.0;400.0;3700.0;7700.0;9700.0;180000.0;970000.0
3183.0;400.0;3800.0;7600.0;9500.0;114000.0;960000.0
3321.0;400.0;3800.0;7700.0;9800.0;64000.0;970000.0
3459.0;400.0;3800.0;7600.0;9500.0;66000.0;960000.0
3598.0;400.0;3800.0;7900.0;10500.0;255000.0;990000.0
3736.0;400.0;3900.0;7700.0;10100.0;199000.0;960000.0
3874.0;400.0;4000.0;8500.0;16700.0;384000.0;990000.0
4013.0;400.0;3900.0;7800.0;9900.0;116000.0;990000.0
4151.0;400.0;4000.0;8000.0;11000.0;238000.0;1100000.0
4289.0;400.0;4000.0;8200.0;13000.0;104000.0;1500000.0
4428.0;400.0;4100.0;8600.0;16800.0;129000.0;960000.0
4566.0;400.0;4000.0;8300.0;14000.0;428000.0;980000.0
4705.0;400.0;4100.0;8300.0;13100.0;62000.0;1100000.0
4843.0;400.0;4100.0;8200.0;12800.0;253000.0;970000.0
4981.0;300.0;4200.0;9500.0;65000.0;411000.0;970000.0
5120.0;400.0;4300.0;9300.0;24000.0;381000.0;980000.0
